x_metres,y_metres,z_metres
-4.078121315682861514e+00,-3.286992525022023770e+00,1.102577877044677734e+01
-3.598840503292186632e+00,-3.286992525022023770e+00,1.102577877044677734e+01
-3.119559690901511750e+00,-3.286992525022023770e+00,1.102577877044677734e+01
-2.640278878510836424e+00,-3.286992525022023770e+00,1.102577877044677734e+01
-2.160998066120161543e+00,-3.286992525022023770e+00,1.102577877044677734e+01
-1.681717253729486661e+00,-3.286992525022023770e+00,1.102577877044677734e+01
-1.165999020694314936e+00,-3.187386820161489887e+00,1.069166469573974609e+01
-6.428050243592278168e-01,-2.921771228122341135e+00,9.800692558288574219e+00
-1.696520444665871596e-01,-2.286603470945034466e+00,7.670106887817382812e+00
1.569373305554753462e-01,-2.191328350014682513e+00,7.350519180297851562e+00
4.764578721492586655e-01,-2.191328350014682513e+00,7.350519180297851562e+00
7.959784137430419015e-01,-2.191328350014682513e+00,7.350519180297851562e+00
1.092733672010844703e+00,-2.146607366180794063e+00,7.200508594512939453e+00
1.435019496930608485e+00,-2.191328350014682513e+00,7.350519180297851562e+00
1.718733101285509379e+00,-2.146607366180794063e+00,7.200508594512939453e+00
2.031732815922841606e+00,-2.146607366180794063e+00,7.200508594512939453e+00
2.393581121711958470e+00,-2.191328350014682513e+00,7.350519180297851562e+00
2.657732245197506504e+00,-2.146607366180794063e+00,7.200508594512939453e+00
3.732458158870155973e+00,-2.697019551450116293e+00,9.046792984008789062e+00
4.348725678162649544e+00,-2.842804315228961709e+00,9.535808563232421875e+00
5.183524838157890890e+00,-3.093640140618261203e+00,1.037720394134521484e+01
4.672605484398387077e+00,-2.565457594373691474e+00,8.605485916137695312e+00
5.592265069839413627e+00,-2.842804315228961709e+00,9.535808563232421875e+00
4.831538987276921659e+00,-2.286603470945034466e+00,7.670106887817382812e+00
6.252310047741756804e+00,-2.767993705281704298e+00,9.284866333007812500e+00
-7.433087002417585687e+00,-2.807711712631348888e+00,1.102577877044677734e+01
-6.743085063724217676e+00,-2.722629649908997695e+00,1.069166469573974609e+01
-6.474525377636235923e+00,-2.807711712631348888e+00,1.102577877044677734e+01
-5.995244565245561041e+00,-2.807711712631348888e+00,1.102577877044677734e+01
-5.693897913558890522e+00,-2.898282979860451469e+00,1.138144874572753906e+01
-5.969402051918438978e+00,-3.327658353065256591e+00,1.306758975982666016e+01
-5.208459631254373612e+00,-3.208813420557673268e+00,1.260089015960693359e+01
-4.660710125457120157e+00,-3.208813420557673268e+00,1.260089015960693359e+01
-4.265292482933136675e+00,-3.327658353065256591e+00,1.306758975982666016e+01
-3.442272632113159148e+00,-3.098164531181458958e+00,1.216637611389160156e+01
-2.725449091246405331e+00,-2.898282979860451469e+00,1.138144874572753906e+01
-2.160998066120161543e+00,-2.807711712631348888e+00,1.102577877044677734e+01
-1.681717253729486661e+00,-2.807711712631348888e+00,1.102577877044677734e+01
-1.131704928791402942e+00,-2.642552300121882691e+00,1.037720394134521484e+01
-5.142440007225866916e-01,-1.996594987553862000e+00,7.840553760528564453e+00
-1.660424278456348601e-01,-1.911633501305324279e+00,7.506913185119628906e+00
1.569373305554753462e-01,-1.871807808420899333e+00,7.350519180297851562e+00
4.235181120113859499e-01,-1.663829176532628296e+00,6.533794879913330078e+00
7.959784137430419015e-01,-1.871807808420899333e+00,7.350519180297851562e+00
1.115498955336825304e+00,-1.871807808420899333e+00,7.350519180297851562e+00
1.435019496930608485e+00,-1.871807808420899333e+00,7.350519180297851562e+00
1.754540038524391887e+00,-1.871807808420899333e+00,7.350519180297851562e+00
1.991098189204690394e+00,-1.796935525226413422e+00,7.056498527526855469e+00
